,rfm_code,customers,revenue,percent_customers
0,111,7,168.99,0.8303677342823249
1,112,31,1479.44,3.6773428232502967
2,113,72,5531.469999999999,8.540925266903916
3,114,26,3355.68,3.084223013048636
4,115,8,1851.25,0.9489916963226572
5,122,1,55.980000000000004,0.11862396204033215
6,124,6,815.9300000000001,0.7117437722419928
7,125,6,1529.45,0.7117437722419928
8,134,2,229.95999999999998,0.2372479240806643
9,135,7,2753.82,0.8303677342823249
10,145,2,1293.63,0.2372479240806643
11,155,1,1539.92,0.11862396204033215
12,211,36,923.0,4.270462633451958
13,212,39,1857.1200000000001,4.6263345195729535
14,213,18,1363.41,2.135231316725979
15,214,17,1716.4,2.0166073546856467
16,215,3,919.3,0.3558718861209964
17,222,6,300.0,0.7117437722419928
18,223,4,302.0,0.4744958481613286
19,224,9,1069.1,1.0676156583629894
20,225,5,989.8,0.5931198102016607
21,234,6,869.0,0.7117437722419928
22,235,12,3604.64,1.4234875444839856
23,245,8,3428.7,0.9489916963226572
24,255,5,11001.47,0.5931198102016607
25,311,66,1787.2,7.829181494661921
26,312,35,1769.0,4.151838671411625
27,313,11,771.6,1.3048635824436536
28,314,10,1142.85,1.1862396204033214
29,315,1,180.0,0.11862396204033215
30,322,3,151.2,0.3558718861209964
31,323,5,404.4,0.5931198102016607
32,324,7,768.55,0.8303677342823249
33,325,5,1095.45,0.5931198102016607
34,334,5,672.25,0.5931198102016607
35,335,10,2561.34,1.1862396204033214
36,344,1,168.99,0.11862396204033215
37,345,4,1669.98,0.4744958481613286
38,355,6,5660.24,0.7117437722419928
39,411,50,1398.3,5.931198102016608
40,412,28,1330.15,3.3214709371292996
41,413,13,854.1,1.542111506524318
42,414,18,2336.75,2.135231316725979
43,415,5,1134.5,0.5931198102016607
44,422,4,191.5,0.4744958481613286
45,423,4,290.0,0.4744958481613286
46,424,11,1265.1,1.3048635824436536
47,425,3,884.89,0.3558718861209964
48,433,1,63.0,0.11862396204033215
49,434,6,844.26,0.7117437722419928
50,435,7,3133.59,0.8303677342823249
51,445,11,5042.1,1.3048635824436536
52,455,4,6327.75,0.4744958481613286
53,511,15,399.7,1.7793594306049825
54,512,20,938.0,2.372479240806643
55,513,33,2466.75,3.9145907473309607
56,514,15,1808.0,1.7793594306049825
57,515,1,245.0,0.11862396204033215
58,522,1,55.0,0.11862396204033215
59,523,3,234.5,0.3558718861209964
60,524,12,1505.5,1.4234875444839856
61,525,3,631.0,0.3558718861209964
62,534,15,2096.75,1.7793594306049825
63,535,14,3765.34,1.6607354685646498
64,544,2,282.75,0.2372479240806643
65,545,26,13100.73,3.084223013048636
66,555,12,14645.01,1.4234875444839856
