subtotal,order_date_dt,order_total_revenue,zip_code,unique_customer_id
145,2024-04-08,96.8,44116,94
40,2024-04-06,28,,124
40,2024-04-04,22.4,33572,125
40,2024-04-02,24,89122,4
40,2024-04-02,22.4,97439,126
139,2024-03-31,110,,127
139,2024-03-31,110,,127
69.5,2024-03-31,55,,128
69.5,2024-03-31,55,,128
69.5,2024-03-31,55,,128
80,2024-03-28,56,,129
80,2024-03-28,56,,129
80,2024-03-28,56,,129
40,2024-03-26,28,,130
69.5,2024-03-25,55,80210,58
40,2024-03-23,28,,131
40,2024-03-21,28,59825,132
150,2024-03-21,100,81657,5
80,2024-03-20,28,8859,133
80,2024-03-20,28,,134
75,2024-03-20,40,78259,135
139,2024-03-19,139,34228,136
80,2024-03-19,28,83687,87
80,2024-03-19,28,83687,87
80,2024-03-19,28,83687,87
80,2024-03-19,28,83687,87
160,2024-03-18,56,,137
160,2024-03-18,56,,137
160,2024-03-18,56,,137
160,2024-03-18,56,,137
75,2024-03-18,40,,63
75,2024-03-18,40,,63
75,2024-03-17,40,,138
80,2024-03-17,28,,139
75,2024-03-17,40,,140
160,2024-03-17,56,44116,94
160,2024-03-17,56,44116,94
160,2024-03-17,56,44116,94
80,2024-03-16,28,,141
80,2024-03-15,28,,142
80,2024-03-14,28,,11
80,2024-03-14,28,97527,143
80,2024-03-13,62.4,2554,144
80,2024-03-13,28,,37
80,2024-03-13,28,,37
80,2024-03-13,28,,37
80,2024-03-13,28,,37
80,2024-03-13,28,,37
80,2024-03-13,28,76502,145
160,2024-03-13,56,,146
75,2024-03-12,50,,147
80,2024-03-12,28,83687,87
80,2024-03-12,28,83687,87
80,2024-03-12,28,83687,87
80,2024-03-12,28,83687,87
80,2024-03-11,28,97501,148
75,2024-03-07,50,,149
80,2024-03-07,28,,150
80,2024-03-07,28,89048,151
40,2024-03-06,28,,152
80,2024-03-06,56,44139,17
150,2024-03-05,50,60548,153
150,2024-03-05,50,8753,18
40,2024-03-05,28,,154
40,2024-03-05,28,,154
40,2024-03-05,28,,154
40,2024-03-05,28,,154
450,2024-03-05,150,80503,155
40,2024-03-05,28,,156
80,2024-03-04,56,,157
300,2024-03-03,100,92253,158
300,2024-03-03,100,92253,158
80,2024-03-03,56,12484,159
40,2024-03-03,28,,160
150,2024-03-02,50,83687,87
150,2024-03-02,50,83687,87
150,2024-03-02,50,83687,87
150,2024-03-02,50,83687,87
40,2024-03-02,24,89122,4
150,2024-03-02,50,85365,161
40,2024-03-02,28,46350,162
150,2024-03-01,50,80219,111
150,2024-03-01,50,80219,111
150,2024-03-01,50,80219,111
80,2024-03-01,56,52551,163
210,2024-03-01,110,,164
210,2024-03-01,110,,164
260,2024-03-01,180,54313,165
300,2024-03-01,100,97358,55
75,2024-02-28,40,,166
80,2024-02-28,44.8,,167
75,2024-02-26,50,71138,168
75,2024-02-26,50,71138,168
75,2024-02-26,50,71138,168
75,2024-02-26,50,,169
40,2024-02-25,28,,170
40,2024-02-25,28,,129
40,2024-02-25,28,,129
40,2024-02-25,28,,129
40,2024-02-25,28,,129
40,2024-02-25,28,,129
40,2024-02-25,28,,129
150,2024-02-25,100,6379,171
80,2024-02-24,56,,172
80,2024-02-24,56,,172
80,2024-02-23,44.8,,91
80,2024-02-23,44.8,78613,92
40,2024-02-22,28,34203,173
40,2024-02-21,28,97711,174
75,2024-02-20,40,78259,135
210,2024-02-18,186,44116,94
210,2024-02-18,186,44116,94
210,2024-02-18,186,44116,94
40,2024-02-18,28,,80
40,2024-02-18,28,,80
80,2024-02-17,70,92648,175
80,2024-02-17,70,92648,175
40,2024-02-17,28,,176
40,2024-02-13,22.4,52551,163
40,2024-02-11,28,,177
40,2024-02-11,28,,177
80,2024-02-10,56,74354,178
75,2024-02-09,50,,179
40,2024-02-09,28,,172
40,2024-02-09,28,,172
40,2024-02-07,22.4,61115,180
80,2024-02-05,28,,181
80,2024-02-05,28,,181
80,2024-02-05,28,,137
80,2024-02-05,28,,137
80,2024-02-05,28,,137
80,2024-02-05,28,,137
240,2024-02-05,84,92253,158
240,2024-02-05,84,92253,158
160,2024-02-03,56,89044,182
80,2024-02-03,28,,183
80,2024-02-02,24,89122,4
75,2024-02-02,50,,184
80,2024-02-02,22.4,97711,185
80,2024-02-01,80,8742,186
80,2024-02-01,28,,187
75,2024-02-01,50,87801,188
200,2024-01-31,84,44116,94
200,2024-01-31,84,44116,94
200,2024-01-31,84,44116,94
80,2024-01-31,28,17603,189
40,2024-01-30,22.4,92264,190
80,2024-01-30,28,33458,191
80,2024-01-30,28,80026,192
80,2024-01-30,28,80026,192
260,2024-01-30,144,83687,87
260,2024-01-30,144,83687,87
260,2024-01-30,144,83687,87
260,2024-01-30,144,83687,87
80,2024-01-30,28,83687,87
80,2024-01-30,28,83687,87
80,2024-01-30,28,83687,87
80,2024-01-30,28,83687,87
80,2024-01-25,28,80120,193
160,2024-01-25,56,59716,194
160,2024-01-25,56,33496,195
300,2024-01-25,208,44116,94
300,2024-01-25,208,44116,94
300,2024-01-25,208,44116,94
40,2024-01-25,28,80916,196
200,2024-01-24,92.4,26104,197
80,2024-01-24,28,79924,198
80,2024-01-24,28,79924,199
40,2024-01-21,28,,57
40,2024-01-21,28,,57
40,2024-01-20,28,,200
155,2024-01-18,84.8,,137
155,2024-01-18,84.8,,137
155,2024-01-18,84.8,,137
155,2024-01-18,84.8,,137
80,2024-01-16,64,80015,19
40,2024-01-15,22.4,68046,201
40,2024-01-15,22.4,68046,201
75,2024-01-13,50,,202
40,2024-01-13,28,,203
